dataset,model,model_type,n_features,train_time,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,primary_metric,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Parkinsons,Decision Tree,BASELINE,13,0.05074810981750488,,,,,,,0.8666666666666666,0.8666666666666666,0.06363935203072235,0.8641988555515638,0.06716913068313798,0.816743295019157,0.09677865140500798
Parkinsons,Random Forest,BASELINE,13,1.0464046001434326,,,,,,,0.9333333333333333,0.9333333333333333,0.034781179400642376,0.9297713369555234,0.03871220345567791,0.9530268199233716,0.020818176104204972
Parkinsons,Extra Trees,BASELINE,13,0.7919952869415283,,,,,,,0.923076923076923,0.923076923076923,0.03626188621469473,0.9191074176080554,0.03981140870440581,0.9780076628352491,0.012475604120419702
Parkinsons,Gradient Boosting,BASELINE,13,1.081071138381958,,,,,,,0.8820512820512821,0.8820512820512821,0.06196433832612603,0.879987550218987,0.0609542335949828,0.8680204342273308,0.07738531402369297
Parkinsons,XGBoost,BASELINE,13,0.18632221221923828,,,,,,,0.9128205128205128,0.9128205128205128,0.06607230116269296,0.910214236148358,0.0687658525048813,0.9644955300127714,0.025883424637489025
Parkinsons,RLT-RandomForest,RLT,13,0.9866664409637451,,,,,,,0.9384615384615385,0.9384615384615385,0.03076923076923074,0.9358227849113481,0.03374373514079724,0.9530268199233716,0.020818176104204972
Parkinsons,RLT-ExtraTrees,RLT,13,0.8516910076141357,,,,,,,0.923076923076923,0.923076923076923,0.03626188621469473,0.9191074176080554,0.03981140870440581,0.9780076628352491,0.012475604120419702
Parkinsons,RLT-GradientBoosting,RLT,13,1.0805952548980713,,,,,,,0.8820512820512821,0.8820512820512821,0.06196433832612603,0.879987550218987,0.0609542335949828,0.8680204342273308,0.07738531402369297
Parkinsons,RLT-XGBoost,RLT,13,0.17193961143493652,,,,,,,0.9128205128205128,0.9128205128205128,0.06607230116269296,0.910214236148358,0.0687658525048813,0.9644955300127714,0.025883424637489025
WDBC_BreastCancer,Logistic Regression,BASELINE,23,0.16440081596374512,,,,,,,0.9526005278683435,0.9526005278683435,0.022562759714987446,0.952237549026413,0.02296180318297497,0.9903803744083797,0.008830215713750233
WDBC_BreastCancer,Decision Tree,BASELINE,23,0.11244034767150879,,,,,,,0.9297469337059463,0.9297469337059463,0.02209972068072228,0.9297650119555165,0.02195756246169168,0.9249254571355783,0.021598225967881426
WDBC_BreastCancer,Random Forest,BASELINE,23,1.2045414447784424,,,,,,,0.947290793355069,0.947290793355069,0.014632604784469446,0.9469037053819653,0.01484051463226634,0.9901071805510064,0.005287083031687542
WDBC_BreastCancer,Extra Trees,BASELINE,23,0.846160888671875,,,,,,,0.9613724576929048,0.9613724576929048,0.022574828498321497,0.9611642085633865,0.022639758511660255,0.9906885542367035,0.005480359056680354
